Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Coordinates,Latitude,Longitude
8/28/1976,,"Ho Chi Minh City, Vietnam",Air France,,Ho Chi Minh City - Bangkok,Sud Aviation SE 210 Caravelle III,F-BSGZ,83,20,1,0,A hijacker set off two grenades and was killed.,"10.8230989,106.6296638",10.8230989,106.6296638
6/27/1976,,"Entebbe, Uganda",Air France,139,Tel-Aviv - Athens - Paris,Airbus A300,F-BVGG,19,258,7,0,"The plane was hijacked ,in Athens, by Palestinian terrorists and flown to Entebbe Uganda. Seven passengers were killed during a commando raid by Israeli armed forces to free the hostages.","0.0511839,32.4637080",0.0511839,32.463708
6/1/1976,,"Nacias Nguema, Equatorial Guinea",Aeroflot,,Luanda - Moscow,Tupolev TU-154A,CCCP-85102,102,46,46,0,Crashed in mountainous terrain while en route.,"1.6508010,10.2678950",1.650801,10.267895
5/15/1976,,"Chernigov, Ukraine, USSR",Aeroflot,,,Antonov AN-24,CCCP-46534,57310108,52,52,0,Went into a spin and crashed.,"51.4982000,31.2893499",51.4982,31.2893499
4/27/1976,15:10,"St. Thomas, Virgin Islands",American Airlines,625,New York City - Saint Thomas,Boeing B-727-95,N1963,19837/499,88,37,0,"After touching down 2,200 feet down the runway, a go-around procedure was initiated. When there was no acceleration felt, the throttles were closed again. After attaining a nose-up attitude of 11 degrees, the aircraft ran off the end of the runway and struck a localizer antenna. The wingtip then clipped a hillside, the aircraft hit an embankment, went airborne and contacted the ground bursting into flames. The captain's actions and his judgement in initiating a go-around manoeuver with insufficient runway remaining after a long touchdown.","18.3380965,-64.8940946",18.3380965,-64.8940946
4/5/1976,8:19,"Ketchikan, Alaska",Alaska Airlines,60,Juneau - Ketchikan,Boeing B-727-81,N124AS,18821,50,1,0,The plane overran the runway after landing at excessive speed. The captain's faulty judgement in initiating a go-around after he was committed to a full stop landing following an excessively long and fast touchdown from an unstabilized approach.,"55.3422222,-131.6461112",55.3422222,-131.6461112
3/6/1976,1:00," Voronezh, Russia",Aeroflot,,Moscow - Yerevan,Ilyushin IL-18D,CCCP-75408,186009201,120,120,7,"The aircraft plunged to earth from FL 260. Electrical power failure of compass, gyros and auto pilot.","51.6683487,39.1919288",51.6683487,39.1919288
2/9/1976,,"Irkutsk, Russia",Aeroflot,,,Tupolev TU-104A,CCCP-42327,66600201,24,24,0,Crashed during takeoff.,"52.2854834,104.2890222",52.2854834,104.2890222
1/30/1976,,"Frunze, Kyrgyzstan",Aeroflot,,Training,Ilyushin IL-18V,CCCP-75558,184007505,6,6,0,The crew was practicing dual engine failure with No. 3 and 4 engines shut down. The airplane lost control when the captain attempted a go-around and the No. 3 engine failed to relight. The propeller caused strong drag and the aircraft rolled and impacted the ground.,"42.8746212,74.5697617",42.8746212,74.5697617
1/3/1976,,"Moscow, Russia",Aeroflot,,Moscow - Vnukovo,Tupolev TU-124,CCCP-45036,3351001,61,61,0,The plane rolled to the left and crashed into houses after takeoff. Failure of both artificial horizons.,"55.7558260,37.6172999",55.755826,37.6172999
11/22/1975,, Novgorod (Russia,Aeroflot,,,Yakovlev 40,CCCP-87458,9431736,6,6,5,Crashed into a build in fog while attempting to land. Pilot descended below MDA,"58.5255698,31.2741929",58.5255698,31.2741929
11/20/1975,,"Kharkov, Ukraine, USSR",Aeroflot,27307905,,Antonov AN-24,CCCP-46349,97305708,19,19,0,,"49.9935000,36.2303830",49.9935,36.230383
11/17/1975,,"Sukhumi, Georgia, USSR",Aeroflot,,,Antonov AN-24,CCCP-46467,27307905,38,38,0,Crashed into high ground while descending.,"43.0015252,41.0234153",43.0015252,41.0234153
9/30/1975,,"Barranquilla, Colombia",AVIANCA,,Bogota - Barranquilla,Boeing 727-24C,HK-1272,19525/439,4,4,0,The cargo plane struck trees and broke up on a second landing attempt in poor weather.,"11.0041072,-74.8069813",11.0041072,-74.8069813
9/11/1975,,"Bahar Dar, Ethiopia",Ethiopian Airlines,,Bahar Dar - Debra Marcos,Douglas C-47-DL,ET-ABX,4292,9,1,0,"The plane was flying at FL 115 under VFR in scattered clouds. When breaking through a cloud bank a mountain was seen up ahead. A steep climbing turn was initiated, but the tail struck trees, control was lost and the aircraft crashed inverted.","11.5742086,37.3613533",11.5742086,37.3613533
8/15/1975,,"Krasnovodsk, USSR",Aeroflot,,,Yakovlev YAK-40,CCCP-87323,9330230,28,28,0,Crash during pool visibility and weather conditions.,"40.0336591,52.9759299",40.0336591,52.9759299
8/7/1975,16:11,"Denver, Colorado",Continental Airlines,426,Denver - Wichita,Boeing B-727-224,N88777,19798/608,131,0,0,"The aircraft climbed to about 100 feet above runway 35L and then crashed near the departure end of the runway. At the time of the accident, a thunderstorm with associated rain showers was moving over the northern portion of the airport. The aircraft's encounter, immediately following takeoff, with severe windshear at an altitude and airspeed which precluded recovery to level flight.","39.7392358,-104.9902510",39.7392358,-104.990251
7/15/1975,," Batumi, Georgia, USSR",Aeroflot,,,Yakovlev YAK-40,CCCP-87475,9442037,41,41,0,The aircraft struck a mountain after an attempted go-around.,"41.6167547,41.6367455",41.6167547,41.6367455
1/16/1975,,"Sam Neva, Laos",Aeroflot,,,Antonov AN-12,,,16,16,0,,"20.4170831,104.0478700",20.4170831,104.04787
1/3/1975,,"Moscow, Russia",Aeroflot,,,Tupolev TU-124,CCCP-45037,351002,61,61,0,Crashed shortly after taking off.,"55.7558260,37.6172999",55.755826,37.6172999
12/14/1974,,"Bukhara, Uzbekistan",Aeroflot,,,Yakovlev 40,CCCP-87630,9131119,7,7,0,Overran the runway and hit a dyke while attempting to take off. Elevator lock not removed.,"39.7680827,64.4555769",39.7680827,64.4555769
11/20/1974,7:50,"Nairobi, Kenya",Lufthansa,540,Nairobi - Johannesburg,Boeing B-747-130,D-ABYB,19747/29,157,59,0,The aircraft stalled and crashed during takeoff. The wing flaps were not extended. First fatal Boeing 747 accident to occur.,"-1.2920659,36.8219462",-1.2920659,36.8219462
11/20/1974,,"Soddu, Ethiopia",Ethiopian Airlines,,Soddu - Beica,Douglas DC-3,ET-AAR,9465,24,2,0,Crashed on takoff.,"6.8528087,37.7609688",6.8528087,37.7609688
10/10/1974,,"Cairo, Egypt",EgyptAir,,Training,Tupolev Tu-154,SU-AXB,73A-048,6,6,0,The aircraft lost control while taking off and crashed. Pilot error. Stalled.,"30.0444196,31.2357116",30.0444196,31.2357116
8/12/1974,14:50,"Cali, Colombia",AVIANCA,,Tumaco - Bogota,Douglas C-47-DL,HK-508,4527,27,27,0,The crew became lost in rainy weather and crashed into Trujillo Mountain. Wreckage found 2 months later.,"3.4516467,-76.5319854",3.4516467,-76.5319854
5/23/1974,,"Kiev, Ukraine, USSR",Aeroflot,,,Yakovlev YAK-40,CCCP-87579,9221122,29,29,0,Crashed during approach.,"50.4501000,30.5234000",50.4501,30.5234
4/27/1974,," Leningrad, Russia",Aeroflot,,,Ilyushin IL-18B,CCCP-75559,184007703,118,118,0,The aircraft crashed after report of a heavy vibration and fire in the No. 4 engine. Structural failure of turbine disin No. 4 the engine.,"59.9310584,30.3609096",59.9310584,30.3609096
4/24/1974,,"Tashkent, Uzbekistan",Aeroflot,,,Ilyushin IL-18E,CCCP-75405,186009005,115,1,0,"The plane took off, descended and crashed.","41.2994958,69.2400734",41.2994958,69.2400734
2/22/1974,,"Baltimore, Maryland",Delta Air Lines,523,Baltimore - Atlanta,MDonnell Dougals DC-9,,,15,1,0,"An out of work Pennsylvania salesman, Samuel Byck attempted to hijack Flight 523. His plans were to fly the plane into the White House and kill president Richard Nixon. He killed a security guard to get on board. He then shot and killed to copilot and seriously wounded the pilot. He was wounded  by a security guard and soon after killed himself. The plane never left the ground.","39.2903848,-76.6121893",39.2903848,-76.6121893
1/25/1974,,"Rostov, Russia",Aeroflot,,,Antonov An-24B,CCCP-46277,77303610,4,4,0,On a positioning flight the aircraft crashed past the end of the runway. Failure of the artificial horizon.,"57.1956230,39.4131527",57.195623,39.4131527
1/6/1974,,"Mukachevo, Russia",Aeroflot,,,Antonov AN-24V,CCCP-46357,77303405,24,24,0,,"52.4739358,56.4923148",52.4739358,56.4923148
12/23/1973,,"Lvov, Ukraine, USSR",Aeroflot,,,Tupolev TU-124,CCCP-45004,350202,17,17,0,Crashed after takeoff. Engine failure. A defective turbine blade failed resulting in violent vibration of the engine and rupturing of a fuel line and causing an in-flight fire.,"49.8396830,24.0297170",49.839683,24.029717
12/16/1973,," Vilnius, Lithuania",Aeroflot,,,Tupolev TU-124,CCCP-45061,3351406,51,51,0,Went into a sudden dive and crashed to the ground.,"54.6871555,25.2796514",54.6871555,25.2796514
12/7/1973,,"Moscow, Russia",Aeroflot,,,Tupolev TU-104B,CCCP-42503,21901,72,13,0,The aircraft crashed after the wing touched the ground while landing short of the runway.,"55.7558260,37.6172999",55.755826,37.6172999
10/13/1973,20:15,"  Domodedovo, Russia",Aeroflot,964,Tbilisi - Moscow,Tupolev TU-104B,SSR-42486,21504,119,119,0,"After making a right turn, the aircraft plunged to earth from 1,500 ft.  Electrical failure of the compass and main gyro.","55.4430234,37.7478170",55.4430234,37.747817
10/2/1973,,"Magadan, Russia",Aeroflot,,,Antonov AN-12V,CCCP-12967,9346502,10,10,0,Struck high ground after going off course during a go-around.,"59.5594397,150.8127537",59.5594397,150.8127537
9/30/1973,20:40," Sverdlovsk, Russia",Aeroflot,,,Tupolev TU-104B,CCCP-42506,21904,108,108,0,"The aircraft crashed shortly after takeoff while on a go-around. After reaching an altitude of 1,200 ft. the aircraft banked to the left which steepened until the plane began to descend and finally crashed. Malfunctioning artificial horizon.","56.8430993,60.6454086",56.8430993,60.6454086
8/22/1973,,"El Yopal, Colombia",AVIANCA,,Villavicencio - El Yopal,Douglas DC-3,HK-111,4105,17,16,0,Struck a hill in heavy fog. Flying VFR in IFR conditions.,"5.3489030,-72.4005230",5.348903,-72.400523
8/18/1973,,"Baku, Azerbaijan, USSR",Aeroflot,,,Antonov AN-24V,CCCP-46435,87304305,64,56,0,Crashed after after attemping a return to the airport for an emergency landing.,"40.4092617,49.8670924",40.4092617,49.8670924
7/31/1973,10:08,"Logan Airport, Boston, Massachusett",Delta Air Lines,723,"Burlilngton, VT  - Boston, MA",McDonnell Douglas DC-9-31,N975NE,47075/166,89,89,0,The flight crashed into a seawall during ILS approach in adverse weather conditions. The failure of the flightcrew to monitor altitude and to recognize passage of the aircraft through the approach decision height during an unstabilized precision approach conducted in rapidly changing meteorological conditions. Poor positioning of the aircraft for an approach by ATC. Questionable information presented by the flight director.,"42.3656132,-71.0095602",42.3656132,-71.0095602
6/30/1973,,"Amman, Jordan",Aeroflot,,"Amman, Jordan - Beiruit, Lebanon - Yerevan, Armenia",Tupolev TU-134A,CCCP-65668,1351306,84,5,3,"The aircraft was not able to lift off during takeoff, overshot the runway and crashed into a house bursting into flames.","31.9539494,35.9106350",31.9539494,35.910635
6/20/1973,," Puerto Vallarta, Mexico",Aeromexico,,Houston - Puerto Vallarta,McDonnell Douglas DC-9-15,XA-SOC,47100/153,27,27,0,"The aircraft hit high ground during an approach, 32 kms from the airport.","20.6534070,-105.2253316",20.653407,-105.2253316
6/3/1973,,"Goussainville, France",Aeroflot,,Demonstration,Tupolev TU-144,CCCP-77102,2-Jan,6,6,8,"During a steep climb at an airshow, the airplane was observed to level off very abruptly and then begin a dive. The plane broke apart and exploded before crashing into a residential area killing 8 people and seriously injuring 60 others. The pilot, possibly startled by a close encounter with a Mirage jet photographing the TU-144, overreacted causing a compressor stall. The aircraft then went into a dive and broke apart after the aircraft's design capacity was exceeded.","49.0304670,2.4712360",49.030467,2.471236
5/18/1973,,"Chita, Siberia, Russia",Aeroflot,,Moscow - Chita,Tupolev TU-104A,CCCP-42411,820303,100,100,0,The aircraft broke up at FL 300. Detonation of a bomb in the cabin being carried by a hijacker.,"52.0515032,113.4711906",52.0515032,113.4711906
5/11/1973,,"Semipalatinsk, USSR",Aeroflot,,,Ilyushin IL-18B,SSR-75687,189001202,61,61,0,,"50.4233463,80.2508110",50.4233463,80.250811
2/28/1973,,"Semipalatinsk, Kazakhstan",Aeroflot,,,Yakovlev YAK-40,CCCP-87602,9120118,32,32,0,Crashed on takeoff.,"50.4233463,80.2508110",50.4233463,80.250811
2/24/1973,,"Leningrad, Russia",Aeroflot,,,Ilyushin IL-18,CCCP-75712,189001804,79,79,0,The aircraft entered a spin and dove into the ground.,"59.9310584,30.3609096",59.9310584,30.3609096
2/19/1973,10:06,"Prague, Czechoslovakia",Aeroflot,,Moscow - Praha,Tupolev TU-154,CCCP-85023,23,100,66,0,The plane struck the ground short of the runway while landing. Possible windshear or jammed tailplane.,"50.0755381,14.4378005",50.0755381,14.4378005
1/22/1973,1:00,"Perm, Russia",Aeroflot,,,Antonov An-24B,CCCP-46276,77303609,44,44,0,The plane went into a spiral dive. As the crew tried to pull the plane out it broke up due to excesss g loads. Four survived the crash as the plane landed in a blanket of snow but succumbed to the cold before they could be rescued.,"58.0091683,56.2269674",58.0091683,56.2269674
12/8/1972,14:28,"Chicago, Midway Airport, Illinois",United Air Lines,553,Washington - Chicago,Boeing B-737-222,N9031U,19069/75,61,43,2,"The aircraft crashed while making a nonprecision instrument approach to Runway 31L. The accident occurred in a residential area approximately 1.5 miles southeast of the approach end of Runway 31L. Upon reaching mimimum descent altitude, the pilot raised the nose of the aircraft to stop the descent. The stall warning horn sounded and continued to sound until the plane crashed 17 seconds later. The aircraft was destroyed by impact and subsequent fire. The captain's failure to exercise positive flight management during the execution of a non-precision approach, which culminated in a critical deterioration of airspeed resulting in a stall from which level flight could no longer be maintained. U.S. Representative from Illinois George Collins killed. Wife of  Watergates E. Howard Hunt, Dorothy Hunt, also killed.","41.7867759,-87.7521884",41.7867759,-87.7521884
12/5/1972,15:05,"Beni Sueif, Egypt",EgyptAir,,Training,Boeing 707-336C,SU-AOW,19845/809,6,6,0,Crashed after the No. 4 engine separated from the plane.,"29.0661274,31.0993845",29.0661274,31.0993845
